title,model_number,condition,sold_price_USD,sold_date,listing_url,Size,Reference,Collection,Description,retail_GBP,Complication,retail_USD,profit_USD,growth_pct
Rolex GMT-Master II 126711CHNR Root Beer Rose Gold Steel NEW 2024 COMPLETE SET,126711CHNR,Brand New,20387.0,2024-06-03 00:00:00.000000,https://www.ebay.com/itm/126486174406?hash=item1d7329dac6%3Ag%3AMUYAAOSwRQtmRtXH&itmprp=enc%3AAQAJAAAAwBB22y3KA9Gl2qPr4P7iAesNaJAmlvsHabXS0l3nw8%2F7qRXoqN8qzkcg3Xf5Wg1jLkk8qP%2FLOdfSmQHokaLW99vw3pTLwK4Sndyh03e36LckNr8pdN3OGL0dkEkt8aHlHC6JPRaEa7n3cy7eFr4X8IsPLM8RyCKPP5vkiLzsm%2BhrxsdpufMzLFj%2FG9RIa42mBeu2RTWBzH1cq%2FYZUErdVaxgUSUWx4lrZL0TCRH6HS6qC1kL948KrHCopPMbJY7zhw%3D%3D%7Ctkp%3ABk9SR-zphfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,2240.8600000000006,12.348962368856409
Rolex GMT-Master II 126711CHNR Root Beer Two-Tone Steel and Rose Gold Box Papers,126711CHNR,Pre-Owned,18393.81,2024-05-31 00:00:00.000000,https://www.ebay.com/itm/186449439850?hash=item2b6940ac6a%3Ag%3AMWsAAOSwTX9mSVg3&itmprp=enc%3AAQAJAAAAwPF%2FO5U2VqcugxGwiSBTGdaj6SDC0%2BneQI%2FcZiq9ogKfCHF9u%2FNVbU0ftrIg%2BywOh3rDlVX1pyk3sTGzkZXzIWaYZQlluxQs0kJY81vIZNuw%2FNe%2BpRFk57thwEGDxv0oSJF1%2FUyyKzW53Ou5Aot9jMBIX9lfZuGgeLBaUYqoa%2B%2FS%2BvYjlDrpduUNq1e7NB9sj4r3HrN9MnL52Rx19lX6%2Bxri2%2FXwmIifJ%2FSdTePxS4YBTiLCF0CCxtuIEWm79YjJdw%3D%3D%7Ctkp%3ABk9SR-zphfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,247.6700000000019,1.3648632711970698
"Rolex GMT-Master II ""Root Beer"" Automatic Men's Steel and 18 ct Everose Gold",126711CHNR,Brand New,21525.0,2023-01-06 00:00:00.000000,https://www.ebay.com/itm/155065004433?epid=14052577957&hash=item241a983191%3Ag%3Avo4AAOSwOghixG6u&itmprp=enc%3AAQAJAAAA4NreaOh5sbTXJkXEl1AhtchscLZvMAMaykR%2FhGPsvsAGJ%2FNnCLC798cItRUDrJTSVR8U2bIchdVu5JipXCiK3XXbRds9zlLwhgfe0aqc5B3ee6KE1UNqtW8sWoJhGN7AtiCxUZXMvlsUaYFzJBsQw8jzVmrO%2BhudFxCZbG758TW97idrk7FFlki0JXJvQAGfVLnnPuhfwoWInWjnEd5DBpdTBXbQcuDSh7RqauQtYTpkWF37jQm69NqMJl3B0PJnK7R7lPrWfqf7SXcUGwl20O5XHMQQsjIYUhcu%2F2NTX0HN%7Ctkp%3ABk9SR-zphfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,3378.8600000000006,18.62026855298151
MINT PAPERS Rolex GMT-Master II Two-Tone Root Beer Rose 40mm 126711 CHNR BOX,126711CHNR,Pre-Owned,18493.81,2024-05-14 00:00:00.000000,https://www.ebay.com/itm/156190246811?hash=item245daa079b%3Ag%3AH14AAOSwjKtmNToW&itmprp=enc%3AAQAJAAAA4NZLkk6wdqgw5z8qn0EuabuBkfpDG%2BhgjfsYxagdkQnhqvD9NhH0QGN72%2FcHXuvIETbPfRrTHeXJN6MmMhHdip%2B4Gaa5rEZiH%2F0sf4wtg6CFr28V1bgRLuKRRW4gS%2BTGDLT48St0wqff0IrwqKXYYP%2Bmm0J5N4xjERDXyk8jriqeJmnzwv3NBG8xNEXPXa8X9P3UR6dPQWSjhLjgKiBLQsltyClVHGGU6sVrPdQgv8yWjryocJ70yQmI7xhBUNB72B8FFxIp4BesGk0bQWMm1RQshvzc%2FfTw8St3E4szj7g9%7Ctkp%3ABk9SR-zphfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,347.6700000000019,1.915944658202795
Rolex GMT-Master II Rootbeer Full Set Watch 126711CHNR,126711CHNR,Pre-Owned,17750.0,2024-05-13 00:00:00.000000,https://www.ebay.com/itm/285852231447?hash=item428e1ee717%3Ag%3A%7EjcAAOSwTuhmLPjQ&itmprp=enc%3AAQAJAAAA4IK%2FRM8%2FiGAMk6nBkyom5xsbE7QUMzl0CWz3SotLHmIMpA9R7pzTVnlNl5CBvMgENd0v7jLr004kfq3gS2BV9XOFqq2znYy4V2mCbUz%2BZtB41WYLal75vMZfRdiFmXq22NCBba7yuu3BmUcsC7cS1LYKSHe7jd03kHwB9fxzo4pfXia4fFrUFkMlxfR5MYuK1wyJunzn0QCCxuH2NVqYf0dhwtA9BbmNXvJwSOQypX77%2Bxb%2BSfr%2B4x7Y6LWmjcPhWlpvRdUhvy9mBjjf5qhIWe9kYgvI9l%2B4Kq7dOmyZlrJf%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,-396.1399999999994,-2.1830538064844585
MINT 2021 PAPERS Rolex GMT-Master II 18K Gold ROOT BEER 126711 CHNR 40mm BOX,126711CHNR,Pre-Owned,18393.81,2024-05-07 00:00:00.000000,https://www.ebay.com/itm/276423187207?hash=item405c1b1b07%3Ag%3Aad8AAOSwf6dmNToT&itmprp=enc%3AAQAJAAAAwH9K4K5LLIXgxoxyh7zSvKAEIx5VpFF0yz8FzFvKvDCuaysx%2FeXokVjUB1NcL05NlcaeP%2BekhWcQPwDpUOh6FdZ0ryzV%2BOBG2KLNoGO9ItSoqe3%2FGvySPe4FrFRGfFoLckaAseCQ0DicK971v2bh%2BYCX7Dkv8RuNMQUxiu9oF5ARgYwsAfyJPNiDvhrU2PQlE%2FPC4oMNRUwLnca2La0Hv91qAd%2BLJxZRuJztBbNz2C2xD3n7HYJMvVXAySs%2F8b37fQ%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,247.6700000000019,1.3648632711970698
MINT 2021 PAPERS Rolex GMT-Master II 18K Gold ROOT BEER 126711 CHNR 40mm BOX,126711CHNR,Pre-Owned,18393.81,2024-04-30 00:00:00.000000,https://www.ebay.com/itm/305508348292?hash=item4721b77184%3Ag%3AkW4AAOSwT8BmGY36&itmprp=enc%3AAQAJAAAAwPQsdPJIA%2BqP%2FLre%2FZajlNlrxjVsfEP9O5vHZ04Tef4x3X5Sj%2FqGnjY3RbuDZnQpcacxsHhqDCNCM0xszIFKEhYsi1Hvk5NotiW7wZU0YkFybHj%2FRIVpA1AxlAdul8Y9eJGUkWvyvwCPoIEBmM8FHwDUx%2F0mZMa91EV74bl6SnMz%2BU%2FjCEj60EvlRvRw1%2BlIsefMK%2F8hKsGGCmly9kEUA0l51T0lkB8gvTtbb1TC6yQLQDTw%2BXbATTjbPKVIICYcvw%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,247.6700000000019,1.3648632711970698
2022 PAPERS Rolex GMT-Master II Two-Tone Root Beer Rose 40mm 126711 CHNR BOX,126711CHNR,Pre-Owned,18993.81,2024-04-28 00:00:00.000000,https://www.ebay.com/itm/266766464267?hash=item3e1c85350b%3Ag%3AHG4AAOSwRjVmGYDz&itmprp=enc%3AAQAJAAAA4K5JoxIIFF%2BIhkIAG0uYY%2FHuVSjZYgbM6Urspaf6tAqs3PkNejua3O7sy0oylNfJU1gj1%2FfP8voVTFMizTrd4jwe2CClocK5zy6FgxfWEBHiSOSJHWzwRLCkPclGrsdNj%2FvC35lVHRiAbv9QfrwDW%2Bjy9P7oEuA8R0IWEZZVk9DYyfRF6%2BB%2BbKbqJtbDdQEBA2UNzW%2FXWwu1lVdTUBF723VMxL17XSdsmcGKq29sCivwv1NZ0mtqjb8UDUiRV1TaRLr019Ah4Ti0uBFsrmfJJvo3HbxV71ZlTab6LOrjQvk4%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,847.6700000000019,4.671351593231399
NEW APRIL 2024 Rolex GMT-Master II Two-Tone Root Beer Rose 40mm 126711 CHNR BOX,126711CHNR,Brand New,19993.91,2024-04-28 00:00:00.000000,https://www.ebay.com/itm/276424263871?hash=item405c2b88bf%3Ag%3A2VsAAOSwWbtmGsnB&itmprp=enc%3AAQAJAAAA4I7QVOpw3ALJe7plBzyLZqb2tEAmysFbRfI%2FWZnP3aKDBozwjRO7z%2FT5YOTo46LTCGyx5tSvxTE3prEJY%2FOJKUTwXHH%2BC5Qb1%2BUdy0iSAq05pclfaYE8O3m69ZDvpIS3Apirj8um%2FkoQFFX4GsuIUxnH4T2O8fkjWP7nFB%2F5EjobAknhOH00pVKte3j5wn23dkcttGO6AqgN7%2B4pE2UHRLnjtHKoFvX65CuJBnxHpPC9nkIXONmj7nAD1gt57swLlXaAhjcDoMQs7aClGXmvarlIRwrZ2VTtR5B2Ky8hMsG0%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,1847.7700000000004,10.182716544675618
Rolex GMT-Master II 126711CHNR Root Beer Unworn 2022 Box & Papers Tags,126711CHNR,Brand New,19150.0,2024-04-20 00:00:00.000000,https://www.ebay.com/itm/135025005846?hash=item1f701e1516%3Ag%3A9cEAAOSwj6VmIqgy&itmprp=enc%3AAQAJAAAAwK%2BM%2FYAmHd8TUoUbaZynFcXaBpzNn4s0ycfzh6hV6drS3eOpfnFKByEDJcrkEe%2BH155mTt%2BBnWVdIJTh1KPQduKZSZmgqMoP22qvj2wGkegNtZGaENxPx20QjTOJgZsRdRmlAoSTlcgE6ITnvHP%2BFcv%2FNMsw3AZetKo4qhxKopFO7rDITkac%2FxLdfKYxJFjDPxqfWGKi%2B1FOQs8C2IV2sBCPjiWpjpdzTXh%2BzfWyXOpXYdMVQN6uSOAi%2FGE3kX6zOg%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,1003.8600000000006,5.5320856115956385
